0,908.4,2348.5,728.9,987.3,1936.9,811.2,952.3,1025.6,733.7,1676.7,1094.1,1247.2,1124,671.8,995.8,1359.9,1491.2,1397.1,2483.2,1096.7,1038.7,1842.6,1669,1609,1304.7
193.2,940.8,2466.1,827.1,1085.5,2054.5,909.4,1029.7,1123.8,831.9,1774.9,1080.3,1345.4,1222.2,770,1094,1458.1,1589.4,1478.4,2600.8,1174.1,1136.9,1960.2,1760,1726.6,1402.9
509.4,457.2,1982.5,738,1272.9,1570.9,1152.5,597.8,1300.9,409.5,1729.6,1132,1010.8,887.6,1013.1,723.4,1087.5,1175.1,1675.1,2117.2,742.2,1380,1476.6,1276.4,1243,988.6
1251.5,459.5,2042.8,1390.4,2018.3,1664.3,1734,703.3,1855.9,996.8,1882.8,1396.9,902,458,1594.6,1177,1429.9,999.8,1675.3,2197.9,713.7,1867,1570,839.9,1336.4,877.2
2311.3,1699.3,1224.3,1979.2,2627.9,963.2,2812.3,2045,2885.1,1831.3,1268.3,2762.7,2125.2,2065.2,2648.4,1645.4,1311.6,1313.6,3041.1,1565.2,2050.8,2984,1551.3,1620.8,1189.3,1400.1
1139.6,1602.5,2196.3,821.5,1183.9,1661.3,1570.7,1737.2,1643.5,1225.5,1158,1972,2054.1,1930.9,1403.2,1135.2,1155.9,1686.1,2088.1,2537.2,1881.6,1742.4,1935.7,1978.4,1542.7,1484.3
1215.9,1718,3185.7,1623.5,1144.2,2707.7,1243.1,1761.9,965.1,1768.3,2327.4,1896.3,2056.8,1933.6,1008.6,1925.7,2202.3,2395.7,1716.6,3320.4,1906.3,1353.6,2679.8,2505.1,2446.2,2209.2
1307.9,1758.3,2200.9,989.8,1086.5,1684,1610.7,1905.5,1566,1393.8,1162.6,2140.3,2184.2,2099.2,1305.8,1177.6,1178.6,1707.1,2238.3,2541.8,2049.9,1838.2,1958.4,1999.4,1565.4,1505.3
515.3,1121,2588.7,1016.5,970.2,2177.1,598.7,1164.9,892.6,1067.7,1799.3,1059.2,1459.8,1336.6,459.3,1318.7,1674.2,1798.7,1184.6,2723.4,1309.3,826.2,2082.8,1908.1,1849.2,1612.2
1819.8,1382.8,933.8,1484.8,2066.5,654.2,2250.9,1728.5,2323.7,1514.8,504.3,2446.2,1808.7,1748.7,2087,1328.9,998.9,997.1,2724.6,1274.7,1734.3,2422.6,1234.8,1304.3,872.8,1083.6
