0,1
0,3096
0,3109
0,3362
0,7317
0,7541
0,7909
0,8007
0,9232
1,718
1,799
1,2033
1,2634
1,3579
1,4627
1,6239
1,7317
1,7909
1,9232
2,229
2,1215
2,2306
2,3379
2,3850
2,6471
2,8990
3,405
3,2109
3,2622
3,4651
3,4874
3,6037
3,7425
4,794
4,870
4,973
4,1033
4,4733
5,27
5,136
5,169
5,175
5,660
5,1068
5,6811
5,9335
6,21
6,1164
6,1233
7,147
7,603
8,1110
8,1177
8,4597
8,6126
9,528
9,562
9,1195
9,2203
9,2760
9,5286
10,967
10,975
10,1997
10,6978
10,7306
10,7792
11,14
11,424
11,4688
11,6638
11,8113
12,184
12,751
12,1070
12,1168
12,6581
12,8722
13,387
13,642
13,885
13,1035
13,1229
13,4219
14,576
14,1279
14,7207
14,8113
14,8391
15,461
15,3297
15,3417
15,4228
16,230
16,2464
16,9234
17,68
17,301
17,521
17,2696
17,2876
17,7453
17,7924
17,8083
18,242
18,296
18,297
18,543
18,1213
18,2458
18,2575
18,3330
18,5046
18,6322
18,6924
18,9124
18,9314
19,368
19,572
19,621
19,677
19,819
19,998
19,8352
20,368
20,998
21,1172
21,9191
22,254
22,433
22,950
22,2317
22,2829
22,4368
22,4401
22,5462
22,5809
22,5913
22,7746
23,771
23,920
23,2337
23,4463
23,6027
24,582
24,591
24,708
24,793
24,1058
24,1124
24,2083
24,4040
25,1590
25,1987
25,4315
25,5803
25,6657
25,6802
25,7021
25,7981
25,8089
25,8246
25,9066
25,9239
26,637
26,1204
26,1411
26,6308
26,9134
27,541
27,660
27,3984
27,9335
28,750
28,1121
28,1166
28,2090
28,7772
28,9128
29,74
29,5419
29,8260
29,8433
29,8972
30,1101
30,4370
30,6086
30,6306
30,8978
31,231
31,292
31,1245
31,4334
31,8418
32,979
32,982
32,1257
32,5322
32,8037
32,8323
33,34
33,1624
33,1943
33,2945
33,3251
33,4523
33,6196
33,7376
34,211
34,6196
34,6546
34,7376
35,215
35,805
35,812
35,869
36,58
36,601
36,2718
36,3342
36,4805
36,4868
36,5714
36,6440
36,7188
36,7321
36,7964
36,8684
36,9366
37,66
37,103
37,303
37,1077
37,1283
38,865
38,1251
38,1807
38,8189
38,9018
39,268
39,915
39,2292
39,2649
39,5034
39,6728
39,8687
40,555
40,955
40,1119
40,1243
40,4172
40,9210
41,421
41,1175
41,1380
41,3800
41,7186
42,540
42,1148
42,5976
42,8859
43,58
43,319
43,838
43,1207
43,2507
43,3808
43,5213
43,6341
43,7712
43,7798
43,7893
43,8076
43,8684
43,8826
44,119
44,462
44,1105
44,1106
45,193
45,988
45,1014
45,1110
45,4961
45,9272
46,524
46,1183
46,4461
46,6304
46,9254
47,427
47,673
47,5874
47,8579
47,9198
48,206
48,814
48,1012
48,4195
48,8202
49,359
49,826
49,2697
49,4135
49,5779
50,411
50,502
50,618
50,762
50,6034
51,602
51,1075
51,2113
51,2936
51,8665
51,9353
52,412
52,756
52,7820
52,8321
53,576
53,1279
53,5378
53,8937
54,515
54,1107
54,2196
54,6097
54,8010
55,846
55,1007
55,1211
55,5535
56,3148
56,3331
56,4681
